property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,vipul belmonte,sector 53,6.0,27063.59945872801,3.0,4.0,3+,6.0,Moderately Old,2217.0,0,1,0,0,1,2,26
flat,suncity platinum towers,sector 28,6.2,31000.0,3.0,4.0,3+,21.0,Relatively New,2000.0,0,1,0,0,0,2,160
flat,swarn jayanti cghs,sector 54,1.75,9210.526315789473,4.0,3.0,3+,3.0,Old Property,1900.0,0,0,0,0,1,2,26
house,sushant lok 1 builder floors,sector 43,2.45,45370.37037037037,4.0,4.0,3+,3.0,Moderately Old,540.0,1,1,0,1,1,1,123
house,independent,sector 36,0.66,8019.441069258809,2.0,2.0,3,4.0,New Property,823.0,0,0,0,0,0,0,0
flat,paras dews,sector 106,1.35,8045.292014302741,4.0,3.0,3,19.0,Old Property,1678.0,0,1,0,0,0,0,112
flat,bestech park view sanskruti,sector 92,1.6,9907.120743034056,3.0,4.0,3+,10.0,Relatively New,1615.0,0,1,0,0,1,2,174
flat,vatika gurgaon,sector 83,0.85,7727.272727272727,2.0,2.0,2,18.0,Moderately Old,1100.0,0,0,0,1,0,2,119
flat,sare homes,sector 92,0.82,6714.816816521724,3.0,3.0,3+,12.0,Relatively New,1221.18,0,0,0,0,0,0,114
flat,experion the heartsong,sector 108,0.9,9200.290320272328,2.0,3.0,3,2.0,Relatively New,978.23,0,1,0,0,0,0,94
flat,ramprastha skyz,sector 37d,1.25,7246.376811594203,3.0,3.0,3+,2.0,Under Construction,1725.0,0,0,0,0,0,0,8
flat,eros wembley estate,sector 50,1.4,11244.979919678715,3.0,3.0,2,9.0,Relatively New,1245.0,0,0,1,0,0,2,117
flat,sare crescent parc,sector 92,0.66,4480.651731160896,3.0,2.0,2,15.0,Relatively New,1473.0,0,0,0,0,0,1,44
flat,orris carnation residency,sector 85,0.8,5755.395683453237,3.0,4.0,3,4.0,Relatively New,1390.0,0,1,0,0,0,2,40
flat,shapoorji pallonji joyville gurugram,sector 102,2.03,15183.246073298427,3.0,3.0,2,1.0,New Property,1337.0,0,0,0,0,0,0,67
house,not applicable,sector 4,0.8,54794.520547945205,5.0,4.0,3,3.0,Under Construction,146.0,0,0,0,0,0,0,0
house,independent,sector 46,6.5,27460.92099704267,12.0,12.0,3+,4.0,Relatively New,2367.0,1,0,0,1,0,2,32
flat,adani brahma samsara vilasa,sector 63,4.49,14253.968253968254,4.0,4.0,3+,3.0,New Property,3150.0,0,0,0,0,0,2,96
flat,greenopolis,sector 89,1.3,6126.295947219604,3.0,3.0,3+,1.0,New Property,2122.0,0,1,0,0,0,0,35
house,ansal api esencia,sector 67,5.46,24169.986719787517,4.0,5.0,3+,2.0,Relatively New,2259.0,1,0,1,1,0,2,103
house,independent,sector 3,3.5,9210.526315789473,1.0,1.0,0,1.0,Moderately Old,3800.0,0,0,0,0,0,0,0
flat,tulip petals,sector 89,1.55,11047.75481111903,3.0,2.0,3,6.0,Moderately Old,1403.0,0,0,1,0,0,2,111
flat,bestech park view grand spa,sector 81,2.3,10087.719298245614,3.0,4.0,3+,7.0,Relatively New,2280.0,0,1,0,0,0,2,49
flat,signature global solera,sector 107,0.28,5156.537753222837,2.0,2.0,2,6.0,Relatively New,543.0,0,0,0,0,0,0,45
house,dlf city plots phase 2,sector 25,15.5,34307.21558211598,5.0,6.0,3+,3.0,Moderately Old,4518.0,1,1,1,1,0,0,144
flat,silverglades the melia,sohna road,0.75,5555.555555555556,2.0,2.0,2,4.0,Moderately Old,1350.0,0,0,0,0,0,0,70
flat,m3m skywalk,sector 74,1.48,11384.615384615385,2.0,2.0,3,13.0,Relatively New,1300.0,0,0,1,0,0,0,158
flat,m3m merlin,sector 67,3.5,15730.337078651686,3.0,4.0,3,17.0,Relatively New,2225.0,0,1,1,0,0,2,167
flat,dlf the primus,sector 82a,1.85,11031.604054859868,3.0,3.0,3,15.0,Moderately Old,1677.0,0,0,0,0,1,0,38
flat,godrej nature plus,sector 33,1.1,7175.472928897587,2.0,2.0,2,14.0,Under Construction,1533.0,0,0,0,0,0,0,56
house,independent,sector 7,1.35,40909.09090909091,4.0,5.0,0,3.0,Old Property,330.0,0,0,0,0,0,0,0
flat,rof aalayas,sector 102,0.45,7922.5352112676055,2.0,2.0,1,14.0,Relatively New,568.0,0,0,0,0,0,1,57
flat,pioneer urban presidia,sector 62,7.15,18216.56050955414,4.0,5.0,3+,7.0,Relatively New,3925.0,1,1,1,0,0,2,158
house,independent,sector 27,4.25,31481.48148148148,5.0,5.0,3+,3.0,Relatively New,1350.0,0,1,0,1,0,2,49
flat,mvn athens,sohna road,0.26,4859.813084112149,2.0,2.0,1,2.0,Relatively New,535.0,0,0,0,0,0,0,37
flat,the close north,sector 50,2.35,12368.421052631578,3.0,3.0,3,8.0,Moderately Old,1900.0,0,0,0,0,0,2,49
house,shivpuri,sector 7,2.4,80000.0,10.0,5.0,3,2.0,Old Property,300.0,1,1,0,1,0,0,8
flat,raheja atharva,sector 109,1.6,5319.148936170212,4.0,1.0,0,0.0,New Property,3008.0,0,0,0,0,0,0,0
flat,breez global hill view,sohna road,0.35,5681.818181818182,2.0,2.0,2,14.0,New Property,616.0,0,0,0,0,0,0,53
house,palam vihar extension west zone rwa,sector 2,0.35,5833.333333333333,2.0,2.0,0,1.0,New Property,600.0,0,0,0,0,0,0,0
house,independent,sector 56,2.99,20634.920634920636,4.0,4.0,2,2.0,Moderately Old,1449.0,1,1,0,1,0,2,49
flat,trisara our homes 3,sohna road,0.35,5007.153075822604,2.0,2.0,1,2.0,New Property,699.0,0,0,0,0,0,0,74
flat,m3m woodshire,sector 107,1.7,6786.427145708582,4.0,5.0,3+,9.0,Relatively New,2505.0,0,1,0,0,0,0,79
flat,vatika city homes,sector 83,1.0,6349.206349206349,3.0,3.0,2,2.0,Relatively New,1575.0,0,0,1,0,0,2,174
flat,signature global park,sohna road,0.56,6133.6254107338455,2.0,2.0,3,3.0,New Property,913.0,0,0,0,0,0,0,111
flat,tulip white,sector 69,0.9,6787.330316742082,3.0,2.0,3+,1.0,Relatively New,1326.0,0,0,0,0,0,2,149
flat,unitech sunbreeze,sector 69,1.0,5476.45125958379,4.0,3.0,0,0.0,Relatively New,1826.0,0,0,0,0,0,0,0
flat,proxima tower,sector 37c,0.6,5084.745762711865,2.0,2.0,3,5.0,Under Construction,1180.0,1,0,0,1,0,0,55
flat,tarc maceo,sector 91,1.4,8235.29411764706,3.0,3.0,3+,7.0,Relatively New,1700.0,0,0,0,0,0,0,76
flat,signature global city 92,sector 92,0.78,9219.85815602837,2.0,2.0,3,2.0,Under Construction,846.0,0,0,0,0,1,0,24
flat,assotech blith,sector 99,1.9,6701.940035273368,4.0,4.0,3+,2.0,New Property,2835.0,0,0,0,0,0,0,51
flat,sbtl caladium,sector 109,1.88,6799.276672694395,4.0,5.0,3,10.0,Relatively New,2765.0,0,0,0,0,0,0,110
flat,central park flower valley,sohna road road,1.65,15699.333967649858,3.0,3.0,0,1.0,New Property,1051.0,0,0,0,0,0,0,66
house,independent,sector 3,1.5,71428.57142857143,3.0,3.0,0,2.0,Old Property,210.0,0,0,0,0,0,0,0
flat,kamal residence,sohna road,0.4,6872.852233676976,2.0,2.0,1,0.0,New Property,582.0,0,0,0,0,1,2,16
flat,m3m woodshire,sector 107,1.4,6551.240056153486,3.0,4.0,0,1.0,New Property,2137.0,0,0,0,0,0,0,67
house,independent,sector 43,2.55,13178.29457364341,3.0,3.0,2,3.0,Relatively New,1935.0,0,0,0,0,0,2,60
flat,sobha city,sector 108,3.75,17688.67924528302,3.0,3.0,2,16.0,New Property,2120.0,0,1,0,0,0,0,77
flat,breez global hill view,sohna road,0.3,4615.384615384615,2.0,2.0,1,11.0,New Property,650.0,0,0,0,0,0,0,91
flat,shree vardhman flora,sector 90,0.9,5099.150141643059,3.0,4.0,3,4.0,Relatively New,1765.0,0,1,0,0,0,0,165
house,dlf city plots phase 2,sector 25,4.5,33333.333333333336,5.0,3.0,2,3.0,Old Property,1350.0,0,0,1,1,0,0,25
flat,parsvnath green ville,sector 48,3.3,9984.871406959153,5.0,5.0,3+,4.0,Old Property,3305.0,0,1,0,0,0,0,71
house,vipul tatvam villa,sector 48,18.5,26428.571428571428,4.0,4.0,1,1.0,Moderately Old,7000.0,0,0,0,0,0,0,30
flat,indiabulls centrum park,sector 103,2.2,8455.034588777864,4.0,6.0,3+,4.0,Relatively New,2602.0,0,1,0,0,0,2,108
flat,imperia the esfera,sector 37c,0.9,6271.777003484321,3.0,3.0,3,9.0,Relatively New,1435.0,0,0,0,0,0,0,66
flat,gls arawali homes,sohna road,0.3,4219.4092827004215,2.0,2.0,2,4.0,Relatively New,711.0,0,0,0,0,0,0,42
flat,signature global synera,sector 81,0.45,6777.108433734939,2.0,2.0,2,6.0,Relatively New,664.0,0,0,1,0,0,2,39
flat,samadhan shri kamal cghs,sector 1,2.01,10276.0736196319,4.0,4.0,3+,10.0,Moderately Old,1956.0,0,0,0,0,0,1,0
flat,ramsons kshitij,sector 95,0.17,476.32390025217154,1.0,1.0,1,12.0,Relatively New,3569.0,0,0,0,0,0,0,56
flat,signature global the millennia 3,sector 37d,0.45,6859.756097560976,2.0,3.0,2,8.0,Under Construction,656.0,0,0,0,0,0,0,8
flat,sare homes,sector 92,1.18,4686.258935663225,4.0,4.0,3,8.0,Relatively New,2518.0,0,1,0,0,0,0,108
flat,tulip violet,sector 69,1.32,9302.32558139535,3.0,3.0,1,12.0,Relatively New,1419.0,0,0,0,1,0,2,86
flat,smart world gems,sector 89,0.95,7748.776508972268,2.0,2.0,2,4.0,New Property,1226.0,1,1,0,0,0,0,38
flat,aardhya homesh,sector 67a,1.85,7237.871674491393,4.0,4.0,0,4.0,New Property,2556.0,0,0,0,0,0,0,0
flat,ss almeria,sector 84,1.48,9113.300492610837,3.0,3.0,2,1.0,New Property,1624.0,0,1,1,0,0,2,139
flat,central park 2 bellevue,sector 48,2.75,10683.760683760684,3.0,4.0,3+,3.0,Moderately Old,2574.0,0,0,0,0,0,0,32
house,independent,sohna road road,0.5,5555.555555555556,2.0,1.0,2,1.0,Moderately Old,900.0,0,0,0,0,0,0,0
house,independent,sector 26,13.5,29880.478087649404,5.0,5.0,3+,2.0,Relatively New,4518.0,1,1,0,1,1,1,49
flat,m3m golfestate,sector 65,5.5,19621.83374955405,3.0,4.0,3,3.0,Relatively New,2803.0,0,1,0,0,0,0,49
house,independent,sector 105,1.35,3857.1428571428573,5.0,3.0,3,3.0,Moderately Old,3500.0,0,0,0,0,0,0,0
flat,emaar mgf palm terraces,sector 66,4.5,13550.135501355013,5.0,5.0,3+,11.0,New Property,3321.0,0,1,0,0,0,0,105
flat,ss the leaf,sector 85,1.25,8765.77840112202,2.0,2.0,3+,17.0,Relatively New,1426.0,0,0,1,0,0,0,156
flat,experion the heartsong,sector 108,1.2,9407.853990106074,3.0,3.0,3+,10.0,Relatively New,1275.53,1,0,0,0,0,0,93
flat,g l s arawali homes,sohna road,0.26,4990.403071017275,2.0,2.0,2,1.0,Moderately Old,521.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.4,10174.418604651162,3.0,3.0,1,12.0,Relatively New,1376.0,0,0,0,1,0,0,174
flat,greenopolis,sector 89,0.8,5551.700208188758,2.0,2.0,2,6.0,Under Construction,1441.0,0,0,0,0,0,0,44
house,independent,sector 45,7.35,29696.969696969696,6.0,4.0,3+,3.0,Old Property,2475.0,1,1,1,1,0,2,61
flat,central park flower valley aqua front towers,sector 33,2.96,12484.183888654576,4.0,4.0,3,1.0,New Property,2371.0,0,1,0,0,0,2,24
flat,ss the leaf,sector 85,1.2,8695.652173913044,2.0,2.0,3+,2.0,Relatively New,1380.0,0,0,1,0,0,0,156
flat,ats kocoon,sector 109,2.2,11827.956989247312,3.0,4.0,3,8.0,Relatively New,1860.0,0,1,0,0,0,0,156
flat,experion the heartsong,sector 108,0.98,10018.093904296535,2.0,3.0,3,4.0,Relatively New,978.23,1,0,0,0,0,0,135
flat,ireo the corridors,sector 67a,1.3,10030.864197530864,2.0,2.0,2,1.0,New Property,1296.0,0,0,0,0,0,0,55
house,huda housing board colony,sector 31,4.6,31506.84931506849,6.0,4.0,3+,3.0,Old Property,1460.0,0,0,0,0,1,0,8
house,dlf city plots phase 3,sector 24,1.6,29629.62962962963,8.0,5.0,3+,4.0,Old Property,540.0,0,0,0,0,0,0,8
flat,vatika gurgaon,sector 83,1.08,6878.980891719745,3.0,3.0,2,11.0,Relatively New,1570.0,0,0,0,0,1,0,19
flat,signature global the millennia,sector 37d,0.6,9600.0,2.0,2.0,3,7.0,New Property,625.0,0,0,0,0,0,0,35
house,sector 14 rwa,sector 14,5.51,16990.4409497379,3.0,3.0,2,4.0,Moderately Old,3243.0,0,0,0,0,0,0,14
flat,smart world gems,sector 89,1.1,8972.26753670473,2.0,2.0,2,3.0,New Property,1226.0,0,0,1,0,0,0,77
flat,tulip violet,sector 69,1.5,10053.619302949062,3.0,3.0,2,8.0,Relatively New,1492.0,0,0,0,1,0,2,174
flat,dlf the ultima,sector 81,2.25,11664.07465007776,3.0,3.0,3+,6.0,New Property,1929.0,0,1,0,0,0,1,168
flat,indiabulls centrum park,sector 103,1.2,9316.770186335403,2.0,2.0,3,3.0,Moderately Old,1288.0,0,0,0,0,0,0,26
house,independent,sector 25,10.0,10526.315789473685,5.0,5.0,3+,3.0,Moderately Old,9500.0,0,1,0,1,0,1,29
flat,signature global rosellia,sector 95,0.45,7880.910683012259,2.0,2.0,2,14.0,New Property,571.0,0,0,0,0,0,0,24
flat,experion the heartsong,sector 108,3.0,13610.071452875127,4.0,5.0,3+,2.0,Relatively New,2204.25,0,1,0,0,0,1,149
flat,experion the heartsong,sector 108,0.87,8893.61397626325,2.0,3.0,3,2.0,Relatively New,978.23,0,1,0,0,0,2,123
flat,bestech park view residency,sector 2,0.95,7416.08118657299,2.0,2.0,3,1.0,Moderately Old,1281.0,0,0,0,0,0,2,82
flat,smart world orchard,sector 61,2.45,20032.706459525758,3.0,3.0,3,3.0,New Property,1223.0,1,1,0,0,0,0,119
flat,ansal api celebrity suites,sector 2,0.6,9022.556390977443,1.0,1.0,1,5.0,Moderately Old,665.0,0,0,0,0,0,2,88
flat,shree vardhman flora,sector 90,0.7,4660.452729693741,2.0,3.0,2,7.0,Relatively New,1502.0,1,0,0,0,0,2,49
flat,vatika the seven lamps,sector 82,0.78,6638.297872340426,2.0,2.0,2,0.0,Relatively New,1175.0,0,0,0,0,0,2,103
flat,pivotal devaan,sector 84,0.35,6591.337099811676,2.0,2.0,1,10.0,Relatively New,531.0,0,0,1,0,0,0,103
house,independent,sector 47,6.09,33665.008291873964,12.0,11.0,3+,4.0,Moderately Old,1809.0,0,0,0,1,0,1,44
flat,bptp freedom park life,sector 57,5.5,10978.043912175648,5.0,6.0,3+,19.0,Moderately Old,5010.0,0,1,0,1,0,2,153
house,rattan garden,sector 7,0.83,15839.69465648855,5.0,3.0,2,3.0,Old Property,524.0,0,0,0,0,0,0,0
flat,emaar palm gardens,sector 83,1.38,10222.22222222222,3.0,3.0,3,5.0,Relatively New,1350.0,0,1,0,0,0,2,8
flat,parsvnath green ville,sector 48,2.5,11536.686663590217,4.0,5.0,3,1.0,Moderately Old,2167.0,0,0,0,0,1,2,49
flat,signature global the millennia,sector 37d,0.65,10400.0,2.0,2.0,3,0.0,New Property,625.0,0,0,0,0,0,0,40
house,independent,sohna road road,5.5,15714.285714285714,3.0,3.0,3+,2.0,Moderately Old,3500.0,1,1,0,1,1,0,49
flat,imperia the esfera,sector 37c,0.95,6020.278833967047,2.0,2.0,0,17.0,Under Construction,1578.0,0,1,0,0,0,0,66
house,independent,sector 2,0.7,7777.777777777777,1.0,1.0,0,1.0,Moderately Old,900.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.44,10427.226647356987,3.0,3.0,2,1.0,Relatively New,1381.0,0,0,0,1,0,0,174
flat,gls avenue 51,sector 92,0.45,5402.160864345738,3.0,3.0,1,10.0,Relatively New,833.0,0,0,0,0,0,0,0
flat,ambience creacions,sector 22,2.55,13709.677419354839,3.0,3.0,3,8.0,Relatively New,1860.0,0,0,0,0,1,2,125
house,not applicable,sector 4,0.65,13000.0,2.0,1.0,1,3.0,Moderately Old,500.0,0,0,0,0,0,0,7
flat,ats tourmaline,sector 109,2.25,9619.495510902096,3.0,4.0,3,14.0,Relatively New,2339.0,0,1,0,0,0,0,101
flat,shree vardhman victoria,sector 70,1.23,10065.466448445171,2.0,2.0,3,1.0,Relatively New,1222.0,1,0,0,0,0,0,43
flat,tarc maceo,sector 91,1.5,8398.6562150056,3.0,4.0,3+,3.0,Relatively New,1786.0,1,1,0,0,0,0,112
house,vipul tatvam villa,sector 48,8.25,38194.444444444445,4.0,4.0,3+,3.0,Relatively New,2160.0,0,1,1,0,0,2,160
flat,mrg world ultimus,sector 90,0.5,6281.407035175879,2.0,2.0,2,1.0,Under Construction,796.0,0,0,0,0,0,0,21
house,satya the hermitage,sector 103,4.35,13500.931098696461,4.0,4.0,3+,2.0,Relatively New,3222.0,1,1,1,1,0,0,138
flat,emaar mgf the palm drive,sector 66,4.6,15961.138098542679,3.0,3.0,3,11.0,Relatively New,2882.0,1,1,1,1,0,0,131
flat,today callidora,sector 73,1.0,6925.207756232687,2.0,2.0,2,13.0,New Property,1444.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.77,8122.992198256081,3.0,4.0,3+,7.0,New Property,2179.0,0,0,1,0,0,0,107
flat,godrej,sector 79,2.0,7607.455306200076,3.0,4.0,3+,2.0,Relatively New,2629.0,0,1,0,0,0,2,156
flat,smart world orchard,sector 61,1.5,11252.813203300826,2.0,2.0,2,2.0,Under Construction,1333.0,1,0,0,0,0,0,49
flat,ramsons kshitij,sector 95,0.28,4034.582132564842,2.0,2.0,2,5.0,New Property,694.0,0,0,0,0,1,0,0
flat,dlf the skycourt,sector 86,1.55,8157.894736842105,3.0,3.0,3,5.0,Relatively New,1900.0,0,0,0,0,0,0,49
flat,godrej nature plus,sector 33,1.15,111650.4854368932,2.0,2.0,2,15.0,Under Construction,103.0,0,0,0,0,0,0,38
flat,ss the leaf,sector 85,1.98,8253.438932888703,3.0,4.0,3,12.0,Relatively New,2399.0,0,0,1,0,0,0,174
flat,mvn athens,sohna road,0.25,4672.897196261682,2.0,2.0,1,3.0,Relatively New,535.0,0,0,0,0,0,0,51
house,huda floor,sector 38,4.0,8333.333333333334,9.0,9.0,3+,2.0,Relatively New,4800.0,0,0,1,1,0,2,152
flat,mahindra aura,sector 110,1.4,9032.258064516129,3.0,3.0,3,10.0,Relatively New,1550.0,0,0,0,0,0,2,142
house,independent,sector 26,14.75,51863.57243319268,16.0,20.0,3+,4.0,New Property,2844.0,1,1,1,1,0,2,153
house,unitech deerwood chase,sector 50,15.0,33333.333333333336,4.0,4.0,2,2.0,Moderately Old,4500.0,0,1,0,0,0,0,160
flat,breez global hill view,sohna road,0.35,5681.818181818182,2.0,2.0,2,14.0,New Property,616.0,0,0,0,0,0,0,53
flat,vatika emilia floors,sector 83,0.6,6060.606060606061,2.0,2.0,2,1.0,Relatively New,990.0,0,0,0,0,0,2,167
flat,supertech araville,sector 79,0.95,6859.205776173285,2.0,2.0,3,7.0,New Property,1385.0,1,0,0,0,0,0,49
flat,pioneer park,sector 61,2.1,13190.954773869347,3.0,3.0,3,15.0,Relatively New,1592.0,0,0,0,0,0,2,49
flat,dlf new town heights,sector 90,1.55,7246.376811594203,4.0,4.0,3+,1.0,Relatively New,2139.0,0,1,0,1,0,0,81
flat,m3m capital,sector 113,2.0,13271.400132714001,3.0,3.0,2,24.0,Under Construction,1507.0,0,0,0,0,0,0,47
house,unitech uniworld resorts,sector 33,8.5,17819.706498951782,5.0,5.0,3+,3.0,New Property,4770.0,1,1,1,1,0,2,145
house,sector 38 rwa,sector 38,4.3,28781.793842034807,9.0,9.0,3+,3.0,Relatively New,1494.0,0,0,0,1,1,2,41
flat,ats triumph,sector 104,1.75,8445.945945945947,3.0,4.0,3+,11.0,Relatively New,2072.0,0,1,0,0,0,0,110
flat,godrej nature plus,sector 33,1.27,10143.769968051118,2.0,2.0,3+,9.0,Under Construction,1252.0,0,0,0,0,0,0,38
house,independent,sector 28,11.0,33950.61728395062,13.0,13.0,3+,3.0,Relatively New,3240.0,1,1,0,1,0,1,122
flat,chd avenue,sector 71,0.95,8763.837638376384,2.0,2.0,2,5.0,Moderately Old,1084.0,0,0,0,0,0,2,142
flat,tulip violet,sector 69,1.46,10224.089635854341,3.0,3.0,2,0.0,Relatively New,1428.0,0,0,0,1,0,2,174
flat,avl 36 gurgaon,sector 36a,0.75,8761.682242990653,2.0,2.0,2,5.0,Relatively New,856.0,0,0,0,0,0,0,26
flat,central park flower valley,sector 33,2.2,11578.947368421053,3.0,3.0,3,12.0,New Property,1900.0,0,1,0,0,0,2,49
flat,sobha city,sector 108,2.9,14478.282576135796,3.0,4.0,2,11.0,Relatively New,2003.0,0,0,0,0,0,0,108
flat,tulip violet,sector 69,1.4,9866.102889358703,3.0,3.0,1,12.0,Relatively New,1419.0,0,0,0,1,0,0,86
flat,dlf the ultima,sector 81,2.29,12052.631578947368,3.0,4.0,3+,15.0,Relatively New,1900.0,0,1,0,0,0,1,103
flat,shree vardhman flora,sector 90,0.92,4245.5006922012,3.0,3.0,2,6.0,Relatively New,2167.0,1,0,0,0,0,2,49
flat,ss the leaf,sector 85,1.84,9081.934846989141,3.0,4.0,3,8.0,Relatively New,2026.0,0,0,0,1,0,0,158
house,independent,sector 9,0.6,96774.19354838709,2.0,2.0,1,1.0,Moderately Old,62.0,0,0,0,0,0,0,8
house,unitech espace,sector 50,1.5,41666.666666666664,5.0,5.0,3+,2.0,Moderately Old,360.0,1,0,0,0,0,0,36
flat,emaar mgf emerald floors premier,sector 65,2.35,14242.424242424242,3.0,3.0,2,4.0,Relatively New,1650.0,1,1,0,0,0,0,165
house,independent,sector 3 phase 3 extension,0.75,57692.307692307695,2.0,2.0,0,1.0,Moderately Old,130.0,0,0,0,0,0,0,0
flat,dlf the ultima,sector 81,2.25,11664.07465007776,3.0,3.0,3+,15.0,Relatively New,1929.0,0,1,0,0,0,1,165
flat,tulip violet,sector 69,1.65,10456.273764258554,3.0,3.0,2,1.0,Relatively New,1578.0,0,0,0,0,0,2,69
flat,kiran residency,sector 56,1.5,7894.736842105263,3.0,3.0,3+,4.0,Relatively New,1900.0,0,1,0,0,0,2,126
flat,om apartment dayanand colony,sector 5,0.26,4012.3456790123455,1.0,1.0,1,3.0,Relatively New,648.0,0,0,0,0,0,0,14
flat,shapoorji pallonji joyville gurugram,sector 102,2.15,12721.89349112426,3.0,3.0,3,10.0,Relatively New,1690.0,0,0,0,0,0,2,49
flat,shree vardhman flora,sector 90,0.65,5319.148936170212,2.0,2.0,3,6.0,Relatively New,1222.0,1,0,0,0,0,0,165
